City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,24.44,49,20,1.54,US,1689976033
1,ushuaia,-54.8,-68.3,-1.19,69,75,6.69,AR,1689975783
2,punta arenas,-53.15,-70.9167,-2.16,92,100,2.47,CL,1689976632
3,greymouth,-42.4667,171.2,5.22,75,14,3.63,NZ,1689976632
4,jatai,-17.8814,-51.7144,22.57,45,2,3.02,BR,1689976633
5,port-aux-francais,-49.35,70.2167,0.87,59,100,15.95,TF,1689976634
6,adamstown,-25.066,-130.1015,21.08,72,48,13.01,PN,1689976356
7,cabo san lucas,22.8909,-109.9124,37.01,61,0,5.69,MX,1689976200
8,hilo,19.7297,-155.09,27.84,74,100,3.09,US,1689976462
9,atafu village,-8.5421,-172.5159,28.79,70,64,4.83,TK,1689976041
10,nago,26.5881,127.9761,28.47,81,61,3.14,JP,1689976432
11,puerto natales,-51.7236,-72.4875,-2.59,96,100,2.14,CL,1689976635
12,thompson,55.7435,-97.8558,20.09,77,75,3.6,CA,1689976635
13,grytviken,-54.2811,-36.5092,3.18,97,100,6.62,GS,1689976635
14,dolisie,-4.1997,12.6739,20.02,83,93,3.05,CG,1689976635
15,waitangi,-43.9535,-176.5597,11.57,95,100,1.34,NZ,1689976282
16,tromso,69.6496,18.957,12.01,82,0,1.54,NO,1689976636
17,remire-montjoly,4.9167,-52.2667,25.02,88,75,2.57,GF,1689976106
18,vilyuchinsk,52.9306,158.4028,18.15,84,75,4.44,RU,1689976049
19,nar'yan-mar,67.6713,53.087,8.24,94,86,6.2,RU,1689976637
20,edinburgh of the seven seas,-37.0676,-12.3116,12.33,65,100,7.11,SH,1689976356
21,menongue,-14.6585,17.691,17.91,32,77,0.41,AO,1689976637
22,magadan,59.5667,150.8,15.85,88,91,3.2,RU,1689976071
23,wynyard,-41.0,145.7167,8.28,92,86,0.49,AU,1689976054
24,dahab,28.501,34.5134,32.1,25,0,5.03,EG,1689976638
25,bredasdorp,-34.5322,20.0403,7.41,70,96,1.89,ZA,1689976046
26,albany,42.6001,-73.9662,25.88,80,4,3.97,US,1689976638
27,arkalyk,50.2486,66.9114,16.67,57,17,2.01,KZ,1689976422
28,malango,-2.9627,119.9001,17.67,97,40,0.8,ID,1689976639
29,san antonio de pale,-1.4014,5.6325,23.43,72,65,5.08,GQ,1689976639
30,hamilton,39.1834,-84.5333,27.07,57,100,4.12,US,1689976639
31,la'ie,21.6477,-157.9253,28.98,71,71,2.24,US,1689976371
32,ancud,-41.8697,-73.8203,9.35,86,100,7.14,CL,1689976117
33,aasiaat,68.7098,-52.8699,3.65,96,96,5.37,GL,1689976640
34,bilibino,68.0546,166.4372,22.76,43,39,0.78,RU,1689976048
35,stanley,54.868,-1.6985,12.38,92,20,1.54,GB,1689976641
36,isafjordur,66.0755,-23.124,11.21,68,94,1.69,IS,1689976641
37,papatowai,-46.5619,169.4708,6.4,71,5,5.88,NZ,1689976641
38,margaret river,-33.95,115.0667,11.21,77,1,1.0,AU,1689976641
39,west island,-12.1568,96.8225,24.99,78,40,6.17,CC,1689976642
40,port elizabeth,-33.918,25.5701,15.16,63,0,3.09,ZA,1689976528
41,arraias,-12.9288,-46.9437,23.34,45,100,5.75,BR,1689976642
42,fale old settlement,-9.3852,-171.2468,28.55,72,92,4.06,TK,1689976052
43,blackmans bay,-43.0167,147.3167,5.29,91,44,3.13,AU,1689976643
44,hithadhoo,-0.6,73.0833,27.48,80,88,2.79,MV,1689976096
45,puerto ayora,-0.7393,-90.3518,29.98,77,75,4.59,EC,1689976644
46,hawaiian paradise park,19.5933,-154.9731,27.72,75,100,3.09,US,1689976644
47,o barco de valdeorras,42.4164,-6.9901,19.72,91,0,1.07,ES,1689976644
48,belousovka,50.1339,82.5239,17.47,77,20,4.0,KZ,1689976645
49,kingston,17.997,-76.7936,34.58,62,20,11.32,JM,1689976620
50,goksun,38.021,36.4973,20.2,47,0,3.12,TR,1689976645
51,murun-kuren,49.6342,100.1625,13.7,91,100,1.84,MN,1689976645
52,iqaluit,63.7506,-68.5145,10.85,82,75,3.6,CA,1689976646
53,yellowknife,62.456,-114.3525,27.29,34,100,6.17,CA,1689976646
54,albertina,-22.2008,-46.6158,16.3,55,26,2.45,BR,1689976646
55,revda,56.801,59.9303,11.82,87,35,2.57,RU,1689976337
56,ribeira grande,38.5167,-28.7,20.99,92,99,0.89,PT,1689976647
57,invercargill,-46.4,168.35,0.01,99,16,0.89,NZ,1689976647
58,kirakira,-10.4544,161.9205,27.14,81,100,0.94,SB,1689976439
59,nemuro,43.3236,145.575,15.8,92,23,4.78,JP,1689976090
60,laguna,38.421,-121.4238,42.83,23,0,3.09,US,1689976103
61,kodiak,57.79,-152.4072,13.73,82,0,1.54,US,1689976648
62,amursk,50.2261,136.8994,20.74,95,100,1.36,RU,1689976648
63,ploneour-lanvern,47.9,-4.2833,14.16,88,0,2.06,FR,1689976648
64,longyearbyen,78.2186,15.6401,6.91,81,100,5.66,SJ,1689976051
65,port mathurin,-19.6833,63.4167,23.11,77,66,8.17,MU,1689976649
66,constantia,44.1833,28.65,20.39,81,0,4.48,RO,1689975862
67,trairi,-3.2778,-39.2689,25.99,70,5,5.57,BR,1689976323
68,whitehorse,60.7161,-135.0538,26.01,39,75,2.06,CA,1689976499
69,chadron,42.8294,-102.9999,28.82,38,0,2.06,US,1689976649
70,paracatu,-17.2222,-46.8747,21.44,55,88,1.96,BR,1689976561
71,nuuk,64.1835,-51.7216,6.42,94,92,2.91,GL,1689976650
72,malpica,43.3228,-8.8105,19.65,91,33,5.68,ES,1689976650
73,sitka,57.0531,-135.33,16.94,82,100,3.09,US,1689976061
74,northam,51.0333,-4.2167,15.34,84,81,4.22,GB,1689976135
75,tazovsky,67.4667,78.7,16.6,70,99,2.32,RU,1689976651
76,bethel,41.3712,-73.414,28.05,76,75,2.57,US,1689976651
77,jamestown,42.097,-79.2353,23.62,66,75,4.63,US,1689976651
78,pestravka,52.405,49.9583,16.52,93,90,3.71,RU,1689976651
79,sandnessjoen,66.0217,12.6316,13.29,88,75,3.6,NO,1689976094
80,kruisfontein,-34.0033,24.7314,11.73,80,4,4.01,ZA,1689976337
81,zhigalovo,54.8097,105.1578,13.98,75,0,0.67,RU,1689976652
82,katsuura,35.1333,140.3,24.67,78,71,4.23,JP,1689976434
83,sucua,-2.4667,-78.1667,24.41,78,40,3.09,EC,1689976652
84,luwuk,-0.9516,122.7875,24.21,88,45,2.27,ID,1689976652
85,tura,25.5198,90.2201,23.74,98,100,2.13,IN,1689976065
86,tiksi,71.6872,128.8694,9.43,59,30,4.06,RU,1689976653
87,talnakh,69.4865,88.3972,18.45,75,100,2.53,RU,1689975919
88,newman,37.3138,-121.0208,39.19,6,0,3.75,US,1689976653
89,puerto aysen,-45.4,-72.7,4.88,100,100,2.05,CL,1689976653
90,beolgyo,34.8449,127.3429,23.16,87,58,3.68,KR,1689976654
91,ilulissat,69.2167,-51.1,4.29,94,100,3.0,GL,1689976654
92,choyr,46.3611,108.3611,14.96,71,99,3.24,MN,1689976654
93,arraial do cabo,-22.9661,-42.0278,21.92,73,40,6.17,BR,1689976065
94,anadyr,64.75,177.4833,18.28,77,40,2.0,RU,1689976654
95,kapa'a,22.0752,-159.319,29.18,77,100,6.69,US,1689976070
96,anahuac,27.2333,-100.15,40.45,17,0,6.28,MX,1689976655
97,enewetak,11.3474,162.3373,28.62,78,90,7.06,MH,1689976655
98,murzuq,25.9155,13.9184,31.52,16,0,3.68,LY,1689976075
